"","Accept","posterior_proposal","posterior_current"
"1",0,NA,NA
"2",1,-6864243.92603687,-416694661.592419
"3",1,-18015589.1441756,-46266514.3690539
"4",1,-4456741.48286565,-7149614.63536147
"5",1,-32815645.8740886,-46975121.6770024
"6",1,-57731171.6184825,-104139101.834218
"7",0,-37136909.3242658,-30608184.6249995
"8",1,-78832354.4602284,-137709491.360781
"9",1,-62107199.8984261,-133040906.243547
"10",1,-24019491.7082093,-30729380.0456502
"11",0,-122659801.325061,-79921731.9069974
"12",1,-23408271.2450996,-122430930.975253
"13",0,-148007273.323597,-41297895.7309908
"14",0,-74073218.5676249,-68152241.0744292
"15",0,-62272010.4136412,-36072983.8216083
"16",1,-159582156.945598,-331360841.012715
"17",1,-29423109.8666446,-65002080.3330637
"18",1,-58190476.8495686,-81685872.9985664
"19",0,-156096844.075983,-34929843.5308177
"20",0,-228592657.147416,-20324164.1917473
"21",0,-26227403.4964022,-22282119.6982218
"22",1,-27838550.0593117,-220202490.337833
"23",0,-74304814.638104,-34291812.0445397
"24",0,-144246124.300109,-47028920.753625
"25",0,-54571981.9509653,-11839185.7396258
"26",1,-31828218.9239728,-229224730.395331
"27",1,-54381592.5093699,-236565894.475464
"28",0,-875119202.771026,-85659107.2169431
"29",1,-12518341.4568349,-42756852.9134185
"30",0,-434055856.450934,-104464782.714032
"31",0,-90014620.6293485,-71078599.4843969
"32",1,-59899211.3490054,-217412210.749336
"33",0,-101594649.929122,-26652906.0689961
"34",0,-61968873.1641495,-12658849.1504761
"35",0,-88062644.6780346,-51355123.5956788
"36",1,-76510391.9920953,-99906978.4063836
"37",0,-90681128.5226434,-90473125.499954
"38",0,-191546656.767908,-81946487.9012684
"39",0,-176815174.573244,-46696120.6924404
"40",1,-74120970.3028073,-109244231.117427
"41",1,-86136125.2845771,-86415766.0078969
"42",0,-167970355.769087,-50122692.9603483
"43",0,-101896012.379082,-60719747.659876
"44",1,-37893466.1502302,-318869353.272354
"45",0,-247618841.21807,-27636483.7646429
"46",1,-67993502.529748,-167493723.512444
"47",1,-150692050.49229,-177537276.695127
"48",1,-51410184.0584736,-130808338.229033
"49",1,-38482591.139853,-54580477.3396812
"50",1,-92567948.3673648,-127519316.319988
"51",1,-59352728.958496,-104086835.517204
"52",0,-264099836.905063,-100335070.466889
"53",0,-108427921.216492,-65711936.3273234
"54",1,-79426501.4138439,-123080820.594577
"55",1,-34500886.0719822,-64729737.5765694
"56",0,-125188961.626163,-49562748.5100692
"57",1,-34888922.0316964,-108325446.68597
"58",1,-70160300.8785253,-73682207.7071151
"59",1,-156725401.071852,-157042878.292985
"60",1,-104411013.513872,-148050818.954266
"61",1,-82529475.4291309,-161927153.971818
"62",0,-72402345.0350281,-61917368.6726813
"63",1,-120700645.730515,-122324619.933849
"64",1,-76558633.249347,-376509119.3317
"65",1,-35310918.9295573,-35980359.3093418
"66",0,-325322276.431854,-87873509.8020504
"67",1,-140458859.352771,-159737104.808088
"68",0,-208482168.745034,-165517745.440993
"69",0,-212807319.663428,-67081835.1296646
"70",0,-53899217.2521168,-33403422.0076164
"71",0,-304978866.09279,-7765123.7090528
"72",0,-117801618.126328,-92925730.4915514
"73",1,-43031023.6075844,-285706900.548643
"74",1,-103248811.598216,-223952851.577931
"75",1,-80495651.5134293,-321654975.196615
"76",0,-143361302.228211,-22381790.7090131
"77",0,-217101975.971524,-64495318.9118815
"78",0,-123991861.137176,-121472293.268
"79",1,-89482897.7230143,-164779577.666308
"80",1,-75321430.6090465,-85502412.9918006
"81",0,-102650703.740973,-53607032.1145806
"82",0,-230798730.000208,-21176491.2970767
"83",1,-56100195.4830081,-76865692.1505009
"84",0,-206343519.469564,-104711286.533989
"85",0,-123705876.849277,-44033208.1362758
"86",0,-184920479.023912,-47604855.6378259
"87",1,-37449847.2505809,-123627605.52742
"88",1,-18171793.403889,-165867653.387119
"89",0,-78568055.7208074,-38980442.6213309
"90",1,-83365048.2919167,-362057636.519948
"91",0,-111985924.856847,-54542227.2228312
"92",1,-65068910.4727186,-92878280.9023601
"93",0,-231815677.246321,-136491805.880781
"94",0,-38251547.5545696,-33225932.0019596
"95",0,-127399870.753764,-102350101.518015
"96",1,-39610410.969004,-135128795.356228
"97",1,-88221117.8363303,-139628168.571715
"98",0,-60228568.6693355,-22770817.0182755
"99",0,-75568448.2735949,-16098199.5235789
"100",1,-27391523.267785,-43948436.1770186
"101",0,-73764289.6721662,-42509950.0587897
"102",1,-35510641.670239,-98976744.1090679
"103",1,-42401478.6422838,-328708871.703915
"104",1,-45154322.3831043,-399540024.929829
"105",1,-47885544.8974488,-302268992.307483
"106",1,-157634952.214686,-177376499.646829
"107",0,-364265018.497783,-22320374.1345992
"108",1,-44172536.6511739,-217146603.601921
"109",1,-34792600.0157581,-270112388.293392
"110",0,-235246364.665373,-151072105.925845
"111",1,-34891178.1968417,-166001890.688645
"112",0,-176341962.707401,-145704815.364623
"113",1,-13515496.8837453,-45331346.6238121
"114",1,-43045293.6237144,-61537887.586383
"115",1,-9698000.51145057,-55621120.6833874
"116",0,-62483764.0342662,-20337345.2158792
"117",0,-90757909.4556853,-17909016.7552295
"118",0,-74349135.2567971,-13475225.8754217
"119",1,-31035023.5724164,-144690307.879238
"120",1,-58748174.8205833,-75332859.5460815
"121",0,-29189866.4951356,-19472002.9109599
"122",0,-76792402.0886814,-29693466.826636
"123",0,-32259688.9013944,-20682687.0998556
"124",0,-45309053.9796083,-21671796.4032851
"125",0,-95134407.8061059,-68232300.9731067
"126",1,-55701899.7245615,-102301647.686278
"127",1,-15599792.4604427,-51031186.4561249
"128",1,-7787840.29959366,-88320582.4869551
"129",1,-8504113.47278394,-36830556.2444727
"130",0,-32096082.6377109,-13199757.1173649
"131",1,-37939307.1388059,-38535575.3086567
"132",0,-17259697.031751,-8847035.35361766
"133",1,-18577093.6893461,-19226166.9366003
"134",1,-7578929.91252549,-29037318.1766254
"135",0,-19539402.2808328,-2669612.22697838
"136",0,-43652915.1097837,-6802149.11619216
"137",1,-8332628.94238042,-36438673.6013418
"138",0,-14048260.9098604,-6479669.8201528
"139",0,-81511355.9661303,-65645321.8500197
"140",1,-19692609.0805642,-23646338.6720361
"141",0,-44538076.8455987,-7723535.76076384
"142",0,-39468909.0837606,-6579761.70065409
"143",1,-4681179.24820133,-14691100.7239661
"144",1,-9925436.62921597,-15310875.3071099
"145",1,-44250530.4477387,-161792065.040765
"146",0,-74981466.3303829,-65563276.0301303
"147",0,-256836324.088083,-61693052.4859646
"148",0,-49657528.2411659,-40818809.8887816
"149",1,-33542136.6608866,-65330137.3196391
"150",1,-51868068.5269516,-82188029.234731
"151",1,-41669512.5840954,-84990298.5876031
